,Time,Position,Velocity,Voltage,Force
333,5.685248,-0.0117328275862068,-0.0050639215548367,0.0,-13.8831
334,5.700872,-0.0118246896551724,-0.0040882095667786,0.0,-13.6743
336,5.735235,-0.011988,-0.0086761060844489,0.0,-13.9194
337,5.749011,-0.0120798620689655,-0.0061437980849062,0.0,-13.9966
338,5.765139,-0.012171724137931,-0.005063363316275,0.0,-14.3191
339,5.785296,-0.0122635862068965,-0.0046739016382086,0.0,-14.3055
340,5.798988,-0.0123299310344827,-0.0054056410479968,0.0,-14.3191
341,5.814563,-0.0124217931034482,-0.0051975663695814,0.0,-14.1374
342,5.835318,-0.0125187586206896,-0.0057602663374704,0.0,-13.983
343,5.849116,-0.0126208275862068,-0.0064803526860509,0.0,-14.2056
344,5.865244,-0.0127126896551724,-0.0049938607755106,0.0,-14.4735
345,5.885906,-0.0128045517241379,-0.0055702996019616,0.0,-13.7604
346,5.899143,-0.0129015172413793,-0.0067197170645446,0.0,-13.7151
347,5.914766,-0.0129984827586206,-0.0053452505301054,0.0,-14.033
348,5.935424,-0.013095448275862,-0.0049130311007745,0.0,-13.9694
349,5.949045,-0.0131668965517241,-0.0057749131812039,0.0,-14.3419
350,5.964587,-0.0132638620689655,-0.0066965232563729,0.0,-13.9558
351,5.985626,-0.0134118620689655,-0.0061249174659847,0.0,-14.0738
352,6.001249,-0.0134884137931034,-0.0038825992119064,0.0,-14.0375
354,6.035366,-0.0136568275862068,-0.0091075604335138,0.0,-14.2781
355,6.049369,-0.0137588965517241,-0.0067439597044901,0.0,-14.0966
356,6.064879,-0.0138558620689655,-0.005502598290305,0.0,-13.8876
357,6.08554,-0.0139579310344827,-0.0056472157037581,0.0,-13.9649
358,6.09922,-0.0140497931034482,-0.0059872758489806,0.0,-14.2192
359,6.114521,-0.014131448275862,-0.0049453387318356,0.0,-13.7468
360,6.135339,-0.0142284137931034,-0.0059161840612804,0.0,-14.242
361,6.149026,-0.0143355862068965,-0.0068470494074758,0.0,-14.2509
362,6.165153,-0.0144325517241379,-0.0045536245821312,0.0,-14.3009
364,6.199233,-0.0146315862068965,-0.0101270057287527,0.0,-14.3963
365,6.21536,-0.0147387586206896,-0.0057667671510954,0.0,-13.8059
366,6.235517,-0.0148408275862068,-0.0060557084258228,0.0,-14.3055
367,6.24907,-0.0149428965517241,-0.0070205981027782,0.0,-13.983
368,6.264594,-0.0150449655172413,-0.0049068921942522,0.0,-14.2283
369,6.285472,-0.0151215172413793,-0.0060080219172005,0.0,-13.9694
370,6.299421,-0.0152542068965517,-0.0070941305072163,0.0,-14.1784
371,6.314967,-0.0153307586206896,-0.0048000830284631,0.0,-14.4416
372,6.336633,-0.0154328275862068,-0.0056214437512853,0.0,-14.2328
373,6.352189,-0.0155399999999999,-0.007483323240799,0.0,-13.9194
374,6.365276,-0.0156471724137931,-0.0070319054748738,0.0,-14.1874
375,6.381945,-0.0157492413793103,-0.0064848874763015,0.0,-14.2873
376,6.397542,-0.0158564137931034,-0.0064495645298852,0.0,-14.2101
377,6.415179,-0.0159635862068965,-0.00631106280519,0.0,-13.9422
378,6.432314,-0.0160758620689655,-0.0059201121705464,0.0,-13.9558
379,6.447937,-0.0161575172413793,-0.0064881047848167,0.0,-13.8331
380,6.464564,-0.0162851034482758,-0.0070002063028021,0.0,-14.2601
381,6.482202,-0.0163973793103448,-0.0057113177123857,0.0,-14.2964
382,6.497626,-0.0164739310344827,-0.0057111449719292,0.0,-14.6961
383,6.515265,-0.0165862068965517,-0.0055602978656111,0.0,-14.3009
384,6.537093,-0.0166933793103448,-0.0068400173257508,0.0,-14.4463
385,6.547348,-0.0168056551724137,-0.0084797819027808,0.0,-14.4416
386,6.562972,-0.0169128275862068,-0.0063314563145433,0.0,-14.2964
387,6.582008,-0.0170251034482758,-0.0065197062928382,0.0,-14.1693
388,6.597414,-0.0171373793103448,-0.0066412939461328,0.0,-14.201
389,6.615051,-0.0172445517241379,-0.006444522777697,0.0,-14.3736
390,6.630674,-0.017351724137931,-0.0047913567220998,0.0,-14.2192
392,6.661917,-0.0175405517241379,-0.0061513181741294,0.0,-14.31
394,6.697592,-0.0177702068965517,-0.0112359988008707,0.0,-13.983
395,6.715306,-0.0178875862068965,-0.0068886907557079,0.0,-14.0194
396,6.73093,-0.0179998620689655,-0.0068223772296873,0.0,-14.4099
397,6.74822,-0.0181121379310344,-0.0068225845148704,0.0,-14.2692
398,6.763843,-0.0182244137931034,-0.0066547646663879,0.0,-14.3963
399,6.781963,-0.0183366896551724,-0.0066684006692976,0.0,-14.2464
400,6.797517,-0.0184489655172413,-0.004794271062039,0.0,-14.2828
402,6.831882,-0.0186582068965517,-0.0071032358731792,0.0,-14.2873
404,6.863633,-0.0188878620689655,-0.0106019590248611,0.0,-14.1601
405,6.881925,-0.0190001379310344,-0.0069397723982989,0.0,-14.1465
