Epochs = 30000 of 200000, Loss = 904.1089, params = (12.04637336730957, 15.031420707702637, -5.0473785400390625)
Epochs = 31000 of 200000, Loss = 904.1089, params = (12.046374320983887, 15.03141975402832, -5.047384738922119)
Epochs = 32000 of 200000, Loss = 904.1087, params = (12.046368598937988, 15.031420707702637, -5.047382831573486)
Epochs = 33000 of 200000, Loss = 904.1088, params = (12.046377182006836, 15.03141975402832, -5.047389030456543)
Epochs = 34000 of 200000, Loss = 904.1089, params = (12.046369552612305, 15.03141975402832, -5.047385215759277)
Epochs = 35000 of 200000, Loss = 904.1089, params = (12.046371459960938, 15.031418800354004, -5.047386646270752)
Epochs = 36000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031418800354004, -5.047382831573486)
Epochs = 37000 of 200000, Loss = 904.1088, params = (12.04637336730957, 15.031418800354004, -5.047386646270752)
Epochs = 38000 of 200000, Loss = 904.1088, params = (12.046375274658203, 15.031421661376953, -5.047379970550537)
Epochs = 39000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.03141975402832, -5.0473856925964355)
Epochs = 40000 of 200000, Loss = 904.1088, params = (12.046374320983887, 15.031421661376953, -5.047386646270752)
Epochs = 41000 of 200000, Loss = 904.1089, params = (12.046374320983887, 15.031420707702637, -5.047382354736328)
Epochs = 42000 of 200000, Loss = 904.1087, params = (12.046378135681152, 15.031425476074219, -5.047387599945068)
Epochs = 43000 of 200000, Loss = 904.1088, params = (12.046370506286621, 15.031415939331055, -5.047386646270752)
Epochs = 44000 of 200000, Loss = 904.1087, params = (12.046375274658203, 15.031420707702637, -5.047384262084961)
Epochs = 45000 of 200000, Loss = 904.1087, params = (12.04636287689209, 15.031410217285156, -5.04738187789917)
Epochs = 46000 of 200000, Loss = 904.1088, params = (12.046371459960938, 15.031418800354004, -5.047385215759277)
Epochs = 47000 of 200000, Loss = 904.1088, params = (12.046375274658203, 15.031421661376953, -5.047386169433594)
Epochs = 48000 of 200000, Loss = 904.1088, params = (12.04637336730957, 15.031420707702637, -5.047385215759277)
Epochs = 49000 of 200000, Loss = 904.1089, params = (12.046375274658203, 15.031421661376953, -5.047383785247803)
Epochs = 50000 of 200000, Loss = 904.1089, params = (12.04637336730957, 15.03141975402832, -5.047388553619385)
Epochs = 51000 of 200000, Loss = 904.1087, params = (12.046370506286621, 15.031416893005371, -5.047388076782227)
Epochs = 52000 of 200000, Loss = 904.1089, params = (12.046367645263672, 15.031415939331055, -5.047382354736328)
Epochs = 53000 of 200000, Loss = 904.1087, params = (12.046372413635254, 15.031418800354004, -5.047386169433594)
Epochs = 54000 of 200000, Loss = 904.1088, params = (12.046371459960938, 15.031417846679688, -5.0473809242248535)
Epochs = 55000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.03141975402832, -5.047383785247803)
Epochs = 56000 of 200000, Loss = 904.1087, params = (12.04637336730957, 15.03141975402832, -5.047382831573486)
Epochs = 57000 of 200000, Loss = 904.1089, params = (12.046368598937988, 15.031415939331055, -5.0473761558532715)
Epochs = 58000 of 200000, Loss = 904.1088, params = (12.046372413635254, 15.031420707702637, -5.0473856925964355)
Epochs = 59000 of 200000, Loss = 904.1088, params = (12.046370506286621, 15.031417846679688, -5.047380447387695)
Epochs = 60000 of 200000, Loss = 904.1088, params = (12.046368598937988, 15.031414031982422, -5.047382354736328)
